Date : 2021-03-16 22:37:55
Directory : d:\ahki
Total : 404 files,  33965 codes, 438 comments, 972 blanks, all 35375 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| components\profileSettings\Email                                               |          2 |        176 |          0 |         17 |        193 |
| components\profileSettings\Password                                            |          2 |        188 |          0 |         20 |        208 |
| components\profileSettings\Telephone                                           |          2 |        170 |          0 |         16 |        186 |
| components\profileSettings\sideNavBar                                          |          2 |        206 |          1 |         17 |        224 |
| components\publication                                                         |          2 |        355 |         27 |         30 |        412 |
| components\updateTel                                                           |          2 |         20 |          0 |          3 |         23 |
| context                                                                        |          3 |          9 |          0 |          0 |          9 |
| interceptor                                                                    |          1 |         40 |          0 |          4 |         44 |
| pages                                                                          |          9 |        303 |         26 |         39 |        368 |
| pages\api                                                                      |          2 |         21 |          2 |          3 |         26 |
| pages\post                                                                     |          1 |         22 |          0 |          3 |         25 |
| pages\profile                                                                  |          2 |        121 |          6 |         10 |        137 |
| pages\settings                                                                 |          1 |         34 |          0 |          2 |         36 |
| public                                                                         |        322 |     23,547 |        265 |        514 |     24,326 |
| public\Emoji                                                                   |        321 |     23,543 |        265 |        514 |     24,322 |
| public\Emoji\Pack1                                                             |         52 |      3,016 |         50 |         50 |      3,116 |
| public\Emoji\pack2                                                             |         24 |      5,254 |         24 |        263 |      5,541 |
| public\Emoji\pack3                                                             |         50 |         50 |          0 |          0 |         50 |
| public\Emoji\pack4                                                             |        191 |     14,894 |        191 |        191 |     15,276 |
| services                                                                       |          2 |         41 |          1 |          2 |         44 |
| styles                                                                         |          9 |        559 |         23 |         42 |        624 |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                       | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\ahki\README.md                                                              | Markdown   |         20 |          0 |         15 |         35 |
| d:\ahki\auth\auth.js                                                           | JavaScript |          0 |         18 |          1 |         19 |
| d:\ahki\components\Toast\Toast.js                                              | JavaScript |         10 |          0 |          2 |         12 |
| d:\ahki\components\Toast\Toast.module.scss                                     | SCSS       |         29 |          0 |          0 |         29 |
| d:\ahki\components\changeLanguage\changeLanguage.js                            | JavaScript |         31 |          0 |          3 |         34 |
| d:\ahki\components\changeLanguage\changeLanguage.module.scss                   | SCSS       |         71 |          0 |          2 |         73 |
| d:\ahki\components\commentOrPostSettings\commentOrPostSettings.js              | JavaScript |         11 |          0 |          2 |         13 |
| d:\ahki\components\commentOrPostSettings\commentOrPostSettings.module.scss     | SCSS       |         25 |          0 |          1 |         26 |
| d:\ahki\components\comment\comment.js                                          | JavaScript |         20 |          3 |          3 |         26 |
| d:\ahki\components\comment\comment.module.scss                                 | SCSS       |         93 |          2 |          4 |         99 |
| d:\ahki\components\deactivateDeleteAccount\deactivateDeleteAccount.js          | JavaScript |         22 |          3 |          3 |         28 |
| d:\ahki\components\deactivateDeleteAccount\deactivateDeleteAccount.module.scss | SCSS       |        194 |          3 |         17 |        214 |
| d:\ahki\components\emojiPicker\emojiPicker.js                                  | JavaScript |         54 |          0 |          2 |         56 |
| d:\ahki\components\emojiPicker\emojiPicker.module.scss                         | SCSS       |         80 |          0 |          1 |         81 |
| d:\ahki\components\facebookLogIn\facebookLogIn.js                              | JavaScript |         25 |          0 |          1 |         26 |
| d:\ahki\components\facebookLogIn\facebookLogIn.module.scss                     | SCSS       |         17 |          0 |          1 |         18 |
| d:\ahki\components\homeTodayTopics\homeTodayTopics.js                          | JavaScript |         21 |          0 |          3 |         24 |
| d:\ahki\components\homeTodayTopics\homeTodayTopics.module.scss                 | SCSS       |          9 |          0 |          1 |         10 |
| d:\ahki\components\homeUsersStorys\homeUsersStorys.js                          | JavaScript |         11 |          0 |          2 |         13 |
| d:\ahki\components\homeUsersStorys\homeUsersStorys.module.scss                 | SCSS       |          9 |          0 |          1 |         10 |
| d:\ahki\components\initLanguage\initLanguage.js                                | JavaScript |        163 |          0 |          2 |        165 |
| d:\ahki\components\modalSingInSingUp\ModalSingInSingUp.js                      | JavaScript |         51 |          1 |          3 |         55 |
| d:\ahki\components\modalSingInSingUp\ModalSingInSingUp.module.scss             | SCSS       |        370 |          7 |         44 |        421 |
| d:\ahki\components\modalSingInSingUp\singIn\singIn.js                          | JavaScript |         53 |          1 |          6 |         60 |
| d:\ahki\components\modalSingInSingUp\singUp\singUp.js                          | JavaScript |        175 |          6 |         19 |        200 |
| d:\ahki\components\modalSingInSingUp\verifyAccount\verifyAccount.js            | JavaScript |         40 |          0 |          2 |         42 |
| d:\ahki\components\modalSingInSingUp\verifyAccount\verifyAccount.module.scss   | SCSS       |          0 |          0 |          1 |          1 |
| d:\ahki\components\navBar\NavBar.js                                            | JavaScript |         84 |          1 |          7 |         92 |
| d:\ahki\components\navBar\NavBar.module.scss                                   | SCSS       |        258 |          2 |         25 |        285 |
| d:\ahki\components\navBar\sideNavBar\SideNavBar.js                             | JavaScript |         11 |          0 |          2 |         13 |
| d:\ahki\components\navBar\sideNavBar\SideNavBar.module.scss                    | SCSS       |         68 |          0 |          4 |         72 |
| d:\ahki\components\notFoundPage\notFoundPage.js                                | JavaScript |         13 |          0 |          3 |         16 |
| d:\ahki\components\notFoundPage\notFoundPage.module.scss                       | SCSS       |         24 |          0 |          2 |         26 |
| d:\ahki\components\popUpMessage\popUpMessage.js                                | JavaScript |         42 |          0 |          4 |         46 |
| d:\ahki\components\popUpMessage\popUpMessage.module.scss                       | SCSS       |         16 |          0 |          1 |         17 |
| d:\ahki\components\postTodayTopic\TodayTopic.module.scss                       | SCSS       |        298 |          0 |         17 |        315 |
| d:\ahki\components\postTodayTopic\postTodayTopic.js                            | JavaScript |         61 |         22 |          7 |         90 |
| d:\ahki\components\postUsersStorys\postUsersStorys.js                          | JavaScript |         56 |         21 |          8 |         85 |
| d:\ahki\components\postUsersStorys\postUsersStorys.module.scss                 | SCSS       |        301 |          0 |         22 |        323 |
| d:\ahki\components\profileMenu\profileMenu.js                                  | JavaScript |         23 |          0 |          4 |         27 |
| d:\ahki\components\profileMenu\profileMenu.module.scss                         | SCSS       |         59 |          0 |          7 |         66 |
| d:\ahki\components\profileSettings\Account\Account.js                          | JavaScript |         56 |          4 |          3 |         63 |
| d:\ahki\components\profileSettings\Account\Account.module.scss                 | SCSS       |        119 |          1 |          7 |        127 |
| d:\ahki\components\profileSettings\Email\Email.js                              | JavaScript |         28 |          0 |          9 |         37 |
| d:\ahki\components\profileSettings\Email\Email.module.scss                     | SCSS       |        148 |          0 |          8 |        156 |
| d:\ahki\components\profileSettings\Password\Password.js                        | JavaScript |         59 |          0 |         13 |         72 |
| d:\ahki\components\profileSettings\Password\Password.module.scss               | SCSS       |        129 |          0 |          7 |        136 |
| d:\ahki\components\profileSettings\Telephone\Telephone.js                      | JavaScript |         20 |          0 |          6 |         26 |
| d:\ahki\components\profileSettings\Telephone\Telephone.module.scss             | SCSS       |        150 |          0 |         10 |        160 |
| d:\ahki\components\profileSettings\sideNavBar\sideNavBar.js                    | JavaScript |         44 |          0 |          6 |         50 |
| d:\ahki\components\profileSettings\sideNavBar\sideNavBar.module.scss           | SCSS       |        162 |          1 |         11 |        174 |
| d:\ahki\components\publication\publication.js                                  | JavaScript |         77 |         27 |          7 |        111 |
| d:\ahki\components\publication\publication.module.scss                         | SCSS       |        278 |          0 |         23 |        301 |
| d:\ahki\components\updateTel\updateTel.js                                      | JavaScript |          9 |          0 |          3 |         12 |
| d:\ahki\components\updateTel\updateTel.module.scss                             | SCSS       |         11 |          0 |          0 |         11 |
| d:\ahki\context\apiIsLoadingContext.js                                         | JavaScript |          3 |          0 |          0 |          3 |
| d:\ahki\context\languageContext.js                                             | JavaScript |          3 |          0 |          0 |          3 |
| d:\ahki\context\userContext.js                                                 | JavaScript |          3 |          0 |          0 |          3 |
| d:\ahki\interceptor\interceptor.js                                             | JavaScript |         40 |          0 |          4 |         44 |
| d:\ahki\next.config.js                                                         | JavaScript |         12 |          0 |          1 |         13 |
| d:\ahki\package-lock.json                                                      | JSON       |      5,222 |          0 |          1 |      5,223 |
| d:\ahki\package.json                                                           | JSON       |         24 |          0 |          1 |         25 |
| d:\ahki\pages\_app.js                                                          | JavaScript |         41 |         10 |         12 |         63 |
| d:\ahki\pages\_document.js                                                     | JavaScript |         20 |          0 |          3 |         23 |
| d:\ahki\pages\api\logout.js                                                    | JavaScript |         11 |          1 |          0 |         12 |
| d:\ahki\pages\api\setToken.js                                                  | JavaScript |         10 |          1 |          3 |         14 |
| d:\ahki\pages\index.js                                                         | JavaScript |         44 |          8 |          6 |         58 |
| d:\ahki\pages\post\[post].js                                                   | JavaScript |         22 |          0 |          3 |         25 |
| d:\ahki\pages\profile\[id].js                                                  | JavaScript |         70 |          3 |          5 |         78 |
| d:\ahki\pages\profile\index.js                                                 | JavaScript |         51 |          3 |          5 |         59 |
| d:\ahki\pages\settings\index.js                                                | JavaScript |         34 |          0 |          2 |         36 |
| d:\ahki\public\Emoji\Pack.js                                                   | JavaScript |         55 |          0 |          5 |         60 |
| d:\ahki\public\Emoji\Pack1\051-angel.svg                                       | XML        |         58 |          1 |          1 |         60 |
| d:\ahki\public\Emoji\Pack1\051-angry.svg                                       | XML        |         67 |          1 |          1 |         69 |
| d:\ahki\public\Emoji\Pack1\051-astonished-1.svg                                | XML        |         63 |          1 |          1 |         65 |
| d:\ahki\public\Emoji\Pack1\051-astonished.svg                                  | XML        |         54 |          1 |          1 |         56 |
| d:\ahki\public\Emoji\Pack1\051-confused.svg                                    | XML        |         56 |          1 |          1 |         58 |
| d:\ahki\public\Emoji\Pack1\051-cool-1.svg                                      | XML        |         60 |          1 |          1 |         62 |
| d:\ahki\public\Emoji\Pack1\051-cool.svg                                        | XML        |         62 |          1 |          1 |         64 |
| d:\ahki\public\Emoji\Pack1\051-cry-1.svg                                       | XML        |         49 |          1 |          1 |         51 |
| d:\ahki\public\Emoji\Pack1\051-cry.svg                                         | XML        |         57 |          1 |          1 |         59 |
| d:\ahki\public\Emoji\Pack1\051-devil.svg                                       | XML        |         72 |          1 |          1 |         74 |
| d:\ahki\public\Emoji\Pack1\051-dizzy.svg                                       | XML        |         69 |          1 |          1 |         71 |
| d:\ahki\public\Emoji\Pack1\051-expressionless.svg                              | XML        |         47 |          1 |          1 |         49 |
| d:\ahki\public\Emoji\Pack1\051-flushed.svg                                     | XML        |         55 |          1 |          1 |         57 |
| d:\ahki\public\Emoji\Pack1\051-happy-1.svg                                     | XML        |         56 |          1 |          1 |         58 |
| d:\ahki\public\Emoji\Pack1\051-happy-2.svg                                     | XML        |         57 |          1 |          1 |         59 |
| d:\ahki\public\Emoji\Pack1\051-happy.svg                                       | XML        |         55 |          1 |          1 |         57 |
| d:\ahki\public\Emoji\Pack1\051-in-love.svg                                     | XML        |         71 |          1 |          1 |         73 |
| d:\ahki\public\Emoji\Pack1\051-injury.svg                                      | XML        |         72 |          1 |          1 |         74 |
| d:\ahki\public\Emoji\Pack1\051-joy.svg                                         | XML        |         62 |          1 |          1 |         64 |
| d:\ahki\public\Emoji\Pack1\051-kiss-1.svg                                      | XML        |         62 |          1 |          1 |         64 |
| d:\ahki\public\Emoji\Pack1\051-kiss-2.svg                                      | XML        |         66 |          1 |          1 |         68 |
| d:\ahki\public\Emoji\Pack1\051-kiss.svg                                        | XML        |         59 |          1 |          1 |         61 |
| d:\ahki\public\Emoji\Pack1\051-mask.svg                                        | XML        |         66 |          1 |          1 |         68 |
| d:\ahki\public\Emoji\Pack1\051-mute.svg                                        | XML        |         43 |          1 |          1 |         45 |
| d:\ahki\public\Emoji\Pack1\051-neutral.svg                                     | XML        |         51 |          1 |          1 |         53 |
| d:\ahki\public\Emoji\Pack1\051-sad-1.svg                                       | XML        |         59 |          1 |          1 |         61 |
| d:\ahki\public\Emoji\Pack1\051-sad.svg                                         | XML        |         53 |          1 |          1 |         55 |
| d:\ahki\public\Emoji\Pack1\051-scared-1.svg                                    | XML        |         51 |          1 |          1 |         53 |
| d:\ahki\public\Emoji\Pack1\051-scared.svg                                      | XML        |         60 |          1 |          1 |         62 |
| d:\ahki\public\Emoji\Pack1\051-secret.svg                                      | XML        |         54 |          1 |          1 |         56 |
| d:\ahki\public\Emoji\Pack1\051-shocked.svg                                     | XML        |         59 |          1 |          1 |         61 |
| d:\ahki\public\Emoji\Pack1\051-sick.svg                                        | XML        |         62 |          1 |          1 |         64 |
| d:\ahki\public\Emoji\Pack1\051-sleeping.svg                                    | XML        |         65 |          1 |          1 |         67 |
| d:\ahki\public\Emoji\Pack1\051-smile-1.svg                                     | XML        |         59 |          1 |          1 |         61 |
| d:\ahki\public\Emoji\Pack1\051-smile.svg                                       | XML        |         52 |          1 |          1 |         54 |
| d:\ahki\public\Emoji\Pack1\051-smiling-1.svg                                   | XML        |         61 |          1 |          1 |         63 |
| d:\ahki\public\Emoji\Pack1\051-smiling.svg                                     | XML        |         74 |          1 |          1 |         76 |
| d:\ahki\public\Emoji\Pack1\051-smirking.svg                                    | XML        |         63 |          1 |          1 |         65 |
| d:\ahki\public\Emoji\Pack1\051-surprised.svg                                   | XML        |         48 |          1 |          1 |         50 |
| d:\ahki\public\Emoji\Pack1\051-sweat.svg                                       | XML        |         61 |          1 |          1 |         63 |
| d:\ahki\public\Emoji\Pack1\051-thinking.svg                                    | XML        |         57 |          1 |          1 |         59 |
| d:\ahki\public\Emoji\Pack1\051-tired.svg                                       | XML        |         59 |          1 |          1 |         61 |
| d:\ahki\public\Emoji\Pack1\051-tongue-1.svg                                    | XML        |         59 |          1 |          1 |         61 |
| d:\ahki\public\Emoji\Pack1\051-tongue-2.svg                                    | XML        |         65 |          1 |          1 |         67 |
| d:\ahki\public\Emoji\Pack1\051-tongue.svg                                      | XML        |         63 |          1 |          1 |         65 |
| d:\ahki\public\Emoji\Pack1\051-unamused.svg                                    | XML        |         62 |          1 |          1 |         64 |
| d:\ahki\public\Emoji\Pack1\051-vomiting-1.svg                                  | XML        |         75 |          1 |          1 |         77 |
| d:\ahki\public\Emoji\Pack1\051-vomiting.svg                                    | XML        |         63 |          1 |          1 |         65 |
| d:\ahki\public\Emoji\Pack1\051-wink.svg                                        | XML        |         55 |          1 |          1 |         57 |
| d:\ahki\public\Emoji\Pack1\051-zombie.svg                                      | XML        |         86 |          1 |          1 |         88 |
| d:\ahki\public\Emoji\Pack1\favourite.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\Pack1\love.svg                                            | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\Pack2.js                                                  | JavaScript |         27 |          0 |          0 |         27 |
| d:\ahki\public\Emoji\Pack3.js                                                  | JavaScript |         53 |          0 |          2 |         55 |
| d:\ahki\public\Emoji\Pack4.js                                                  | JavaScript |        194 |          0 |          3 |        197 |
| d:\ahki\public\Emoji\pack2\wedding-couple-1.svg                                | XML        |        188 |          1 |         11 |        200 |
| d:\ahki\public\Emoji\pack2\wedding-couple-10.svg                               | XML        |        110 |          1 |         11 |        122 |
| d:\ahki\public\Emoji\pack2\wedding-couple-11.svg                               | XML        |        254 |          1 |         16 |        271 |
| d:\ahki\public\Emoji\pack2\wedding-couple-12.svg                               | XML        |        111 |          1 |         10 |        122 |
| d:\ahki\public\Emoji\pack2\wedding-couple-13.svg                               | XML        |        245 |          1 |         14 |        260 |
| d:\ahki\public\Emoji\pack2\wedding-couple-14.svg                               | XML        |        108 |          1 |         13 |        122 |
| d:\ahki\public\Emoji\pack2\wedding-couple-15.svg                               | XML        |        284 |          1 |          5 |        290 |
| d:\ahki\public\Emoji\pack2\wedding-couple-16.svg                               | XML        |        111 |          1 |         12 |        124 |
| d:\ahki\public\Emoji\pack2\wedding-couple-17.svg                               | XML        |        338 |          1 |         16 |        355 |
| d:\ahki\public\Emoji\pack2\wedding-couple-18.svg                               | XML        |        269 |          1 |         14 |        284 |
| d:\ahki\public\Emoji\pack2\wedding-couple-19.svg                               | XML        |        196 |          1 |         11 |        208 |
| d:\ahki\public\Emoji\pack2\wedding-couple-2.svg                                | XML        |        140 |          1 |         17 |        158 |
| d:\ahki\public\Emoji\pack2\wedding-couple-20.svg                               | XML        |        275 |          1 |         15 |        291 |
| d:\ahki\public\Emoji\pack2\wedding-couple-21.svg                               | XML        |        271 |          1 |          7 |        279 |
| d:\ahki\public\Emoji\pack2\wedding-couple-22.svg                               | XML        |        348 |          1 |          5 |        354 |
| d:\ahki\public\Emoji\pack2\wedding-couple-23.svg                               | XML        |        319 |          1 |         12 |        332 |
| d:\ahki\public\Emoji\pack2\wedding-couple-3.svg                                | XML        |        192 |          1 |         12 |        205 |
| d:\ahki\public\Emoji\pack2\wedding-couple-4.svg                                | XML        |        120 |          1 |         14 |        135 |
| d:\ahki\public\Emoji\pack2\wedding-couple-5.svg                                | XML        |        185 |          1 |          9 |        195 |
| d:\ahki\public\Emoji\pack2\wedding-couple-6.svg                                | XML        |        334 |          1 |          9 |        344 |
| d:\ahki\public\Emoji\pack2\wedding-couple-7.svg                                | XML        |        220 |          1 |         12 |        233 |
| d:\ahki\public\Emoji\pack2\wedding-couple-8.svg                                | XML        |        175 |          1 |          5 |        181 |
| d:\ahki\public\Emoji\pack2\wedding-couple-9.svg                                | XML        |        290 |          1 |          5 |        296 |
| d:\ahki\public\Emoji\pack2\wedding-couple.svg                                  | XML        |        171 |          1 |          8 |        180 |
| d:\ahki\public\Emoji\pack3\001-bored.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\002-scared.svg                                      | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\003-angry.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\004-happy.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\005-love.svg                                        | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\006-silly.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\007-shocked.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\008-Excited.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\009-death.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\010-happy.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\011-Excited.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\012-annoyed.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\013-happy.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\014-annoyed.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\015-in love.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\016-love.svg                                        | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\017-angry.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\018-evil.svg                                        | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\019-worried.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\020-happy.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\021-unamused.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\022-angry.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\023-scared.svg                                      | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\024-confused.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\025-worried.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\026-zombie.svg                                      | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\027-happy.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\028-worried.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\029-love.svg                                        | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\030-amazed.svg                                      | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\031-worried.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\032-crying.svg                                      | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\033-angry.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\034-love.svg                                        | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\035-happy.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\036-laughing.svg                                    | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\037-evil.svg                                        | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\038-heart eyes.svg                                  | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\039-sad.svg                                         | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\040-sad.svg                                         | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\041-amazed.svg                                      | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\042-freak.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\043-angry.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\044-happy.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\045-sad.svg                                         | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\046-goofy.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\047-amazed.svg                                      | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\048-happy.svg                                       | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\049-grumpy.svg                                      | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack3\050-shocked.svg                                     | XML        |          1 |          0 |          0 |          1 |
| d:\ahki\public\Emoji\pack4\001-zzz.svg                                         | XML        |         59 |          1 |          1 |         61 |
| d:\ahki\public\Emoji\pack4\002-drop.svg                                        | XML        |         43 |          1 |          1 |         45 |
| d:\ahki\public\Emoji\pack4\003-drops.svg                                       | XML        |         54 |          1 |          1 |         56 |
| d:\ahki\public\Emoji\pack4\004-anger.svg                                       | XML        |         77 |          1 |          1 |         79 |
| d:\ahki\public\Emoji\pack4\005-explosion.svg                                   | XML        |         68 |          1 |          1 |         70 |
| d:\ahki\public\Emoji\pack4\006-shooting-star.svg                               | XML        |         54 |          1 |          1 |         56 |
| d:\ahki\public\Emoji\pack4\007-star.svg                                        | XML        |         78 |          1 |          1 |         80 |
| d:\ahki\public\Emoji\pack4\008-shining.svg                                     | XML        |         65 |          1 |          1 |         67 |
| d:\ahki\public\Emoji\pack4\009-fire.svg                                        | XML        |         94 |          1 |          1 |         96 |
| d:\ahki\public\Emoji\pack4\010-poo.svg                                         | XML        |         74 |          1 |          1 |         76 |
| d:\ahki\public\Emoji\pack4\011-kiss-3.svg                                      | XML        |         69 |          1 |          1 |         71 |
| d:\ahki\public\Emoji\pack4\012-alien.svg                                       | XML        |         50 |          1 |          1 |         52 |
| d:\ahki\public\Emoji\pack4\013-skull.svg                                       | XML        |         75 |          1 |          1 |         77 |
| d:\ahki\public\Emoji\pack4\014-monkey-2.svg                                    | XML        |        129 |          1 |          1 |        131 |
| d:\ahki\public\Emoji\pack4\015-monkey-1.svg                                    | XML        |        100 |          1 |          1 |        102 |
| d:\ahki\public\Emoji\pack4\016-monkey.svg                                      | XML        |        123 |          1 |          1 |        125 |
| d:\ahki\public\Emoji\pack4\017-tengu.svg                                       | XML        |         71 |          1 |          1 |         73 |
| d:\ahki\public\Emoji\pack4\018-monster.svg                                     | XML        |        112 |          1 |          1 |        114 |
| d:\ahki\public\Emoji\pack4\019-cat-8.svg                                       | XML        |         70 |          1 |          1 |         72 |
| d:\ahki\public\Emoji\pack4\020-cat-7.svg                                       | XML        |        120 |          1 |          1 |        122 |
| d:\ahki\public\Emoji\pack4\021-cat-6.svg                                       | XML        |        100 |          1 |          1 |        102 |
| d:\ahki\public\Emoji\pack4\022-kissing-1.svg                                   | XML        |         71 |          1 |          1 |         73 |
| d:\ahki\public\Emoji\pack4\023-cat-5.svg                                       | XML        |        115 |          1 |          1 |        117 |
| d:\ahki\public\Emoji\pack4\024-cat-4.svg                                       | XML        |         97 |          1 |          1 |         99 |
